1,2,3,4,5,6
12,12,12,12,13,12
13,12,13,12,13,13
12,12,12,12,12,12
13,12,12,12,12,12
13,12,12,12,12,13
12,13,12,12,12,13
12,12,12,12,13,13
12,12,12,12,12,12
13,12,13,12,12,12
13,12,12,12,12,12
13,13,13,13,13,13
12,12,12,13,12,12
12,13,12,12,12,12
13,13,12,13,13,12
12,12,12,12,13,12
12,13,12,12,12,12
13,12,12,13,12,12
12,13,12,12,13,12
12,13,13,12,13,12
13,12,13,13,13,13
13,12,21,13,13,12
12,12,12,13,12,13
12,12,12,12,13,13
13,13,12,12,12,13
12,12,12,12,12,12
13,13,12,13,12,12
12,13,12,12,12,13
12,13,12,12,12,12
12,12,13,12,12,11
12,14,12,12,12,12
12,12,13,12,13,14
12,12,12,16,13,12
12,12,13,12,12,12
12,12,13,12,13,12
12,12,13,12,12,12
13,12,13,14,12,12
13,12,12,12,12,12
13,12,12,12,13,13
12,13,12,12,13,12
12,12,11,23,12,13
13,12,12,12,13,12
13,13,12,12,12,12
13,12,12,12,13,12
13,13,13,13,13,13
13,12,12,13,12,13
13,12,12,14,13,12
12,12,12,14,12,12
12,12,12,13,13,12
12,12,12,12,12,12
13,12,12,12,12,12
12,12,12,12,14,13
12,12,12,12,12,12
12,13,12,12,13,12
12,12,12,12,13,12
13,12,12,12,12,12
12,12,12,12,12,13
13,12,12,12,12,12
12,12,12,12,12,12
12,13,12,13,12,12
13,12,12,12,12,12
12,14,12,12,12,14
11,12,12,12,12,12
12,12,12,12,20,12
12,12,12,12,13,12
13,12,12,12,12,11
12,12,12,12,12,13
12,12,12,12,12,12
12,13,12,13,12,12
13,12,12,13,12,12
12,13,12,13,12,12
12,12,12,12,12,12
13,12,12,12,12,12
12,12,13,12,11,12
13,12,12,12,12,12
12,12,13,12,13,12
12,12,13,12,12,12
12,12,12,12,12,12
13,13,12,12,12,13
12,12,13,13,12,13
12,12,13,12,12,12
12,13,12,12,13,13
12,13,12,12,14,13
12,12,12,13,12,12
12,12,12,12,12,12
12,12,14,12,13,12
12,13,13,12,12,13
13,12,11,12,12,12
12,12,12,13,12,12
12,12,12,12,15,12
13,13,12,14,12,12
12,13,12,12,12,12
12,12,12,12,13,12
12,12,12,12,12,11
12,12,12,13,12,12
12,13,13,12,13,12
12,12,13,12,12,12
13,12,14,12,11,12
13,12,13,12,12,13
12,12,12,12,12,12
13,12,13,12,12,12
